case,scenario,objectCount,repetition,step,stepMs,pairChecks,collisions,triggerOverlaps,spatialCellsUsed
Brute force AABB 500,BruteForceAabb,500,0,0,14.531600,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,1,13.302900,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,2,13.330900,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,3,13.295100,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,4,13.212600,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,5,13.431800,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,6,13.358200,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,7,13.519000,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,8,13.151000,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,9,13.183300,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,10,13.167700,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,11,13.436900,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,12,13.188400,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,13,13.189500,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,14,13.327000,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,15,13.190200,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,16,13.241400,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,17,13.311200,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,18,13.140300,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,19,13.187800,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,20,13.233700,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,21,13.244000,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,22,13.370600,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,23,13.198600,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,24,13.297000,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,25,13.287600,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,26,13.589700,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,27,13.176300,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,28,13.960800,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,29,13.343200,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,30,13.138500,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,31,13.256900,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,32,13.272300,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,33,13.167400,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,34,13.186400,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,35,13.230700,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,36,13.155100,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,37,13.385900,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,38,13.472400,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,39,13.451600,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,40,13.396800,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,41,15.301600,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,42,16.428100,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,43,15.310200,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,44,13.270200,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,45,13.422100,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,46,13.632100,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,47,13.304700,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,48,13.231800,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,49,13.342700,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,50,14.636100,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,51,13.597900,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,52,13.168900,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,53,13.185900,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,54,13.235900,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,55,13.262600,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,56,13.152400,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,57,13.235300,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,58,13.284900,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,59,13.333600,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,60,13.291800,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,61,13.243100,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,62,13.278600,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,63,13.414500,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,64,13.346800,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,65,13.882800,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,66,13.323100,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,67,13.794200,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,68,13.864700,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,69,14.025000,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,70,13.355600,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,71,13.521000,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,72,13.156600,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,73,13.403900,124750,10,0,0
Brute force AABB 500,BruteForceAabb,500,0,74,13.835100,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,75,13.607500,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,76,14.231200,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,77,13.377700,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,78,13.452600,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,79,13.319900,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,80,13.238800,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,81,15.392500,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,82,13.485300,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,83,13.523800,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,84,13.547300,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,85,13.405000,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,86,13.614400,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,87,13.845300,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,88,13.225100,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,89,13.369000,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,90,13.229600,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,91,13.399800,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,92,13.549700,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,93,13.386100,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,94,15.820800,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,95,13.588100,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,96,24.209500,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,97,13.464000,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,98,15.194600,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,99,13.946700,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,100,13.186600,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,101,15.319300,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,102,14.182700,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,103,13.494000,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,104,13.271100,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,105,13.965000,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,106,13.384600,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,107,13.274800,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,108,13.323400,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,109,13.363200,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,110,13.395800,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,111,13.706500,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,112,13.286800,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,113,13.455900,124750,9,0,0
Brute force AABB 500,BruteForceAabb,500,0,114,13.398900,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,115,13.408800,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,116,13.422300,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,117,13.520400,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,118,13.367000,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,119,13.226100,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,120,13.827300,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,121,13.655700,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,122,13.605100,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,123,14.436800,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,124,13.525400,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,125,13.564100,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,126,13.890500,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,127,13.613500,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,128,13.601200,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,129,13.456100,124750,8,0,0
Brute force AABB 500,BruteForceAabb,500,0,130,13.441700,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,131,13.448700,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,132,13.435000,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,133,13.473900,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,134,13.695000,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,135,13.328300,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,136,13.787300,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,137,13.511200,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,138,13.341700,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,139,13.267500,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,140,13.488800,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,141,13.268500,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,142,13.457800,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,143,13.300200,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,144,13.255900,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,145,13.149400,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,146,13.159700,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,147,13.278300,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,148,13.255300,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,149,13.403500,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,150,14.297600,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,151,15.209800,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,152,13.914700,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,153,19.278500,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,154,13.403100,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,155,13.448000,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,156,13.344800,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,157,13.333200,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,158,13.245700,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,159,13.205700,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,160,13.288200,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,161,13.343500,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,162,13.311100,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,163,13.239900,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,164,13.270800,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,165,14.111200,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,166,13.509000,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,167,13.351500,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,168,13.323000,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,169,13.475800,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,170,13.281800,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,171,13.407100,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,172,13.340900,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,173,13.410500,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,174,13.964100,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,175,13.851500,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,176,13.407500,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,177,13.385400,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,178,13.457700,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,179,13.453000,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,180,13.276900,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,181,13.383500,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,182,13.648600,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,183,13.447600,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,184,13.385400,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,185,13.578100,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,186,13.375100,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,187,13.209700,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,188,14.046100,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,189,13.482600,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,190,14.370900,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,191,13.749500,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,192,13.498800,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,193,13.585600,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,194,13.447800,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,195,13.144000,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,196,13.421200,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,197,13.287600,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,198,13.527000,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,199,13.672000,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,200,13.418900,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,201,13.435200,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,202,13.397700,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,203,13.314300,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,204,13.525100,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,205,13.509300,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,206,13.443400,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,207,13.244000,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,208,13.692500,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,209,13.252900,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,210,13.369100,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,211,13.258900,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,212,13.307100,124750,7,0,0
Brute force AABB 500,BruteForceAabb,500,0,213,13.410700,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,214,13.280900,124750,6,0,0
Brute force AABB 500,BruteForceAabb,500,0,215,13.328400,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,216,13.341100,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,217,13.297400,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,218,13.521800,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,219,13.772600,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,220,13.365300,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,221,13.520500,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,222,13.378100,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,223,13.321400,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,224,13.650500,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,225,13.398900,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,226,13.369900,124750,5,0,0
Brute force AABB 500,BruteForceAabb,500,0,227,13.673400,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,228,13.454200,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,229,13.419900,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,230,14.218700,124750,3,0,0
Brute force AABB 500,BruteForceAabb,500,0,231,13.418800,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,232,13.249800,124750,4,0,0
Brute force AABB 500,BruteForceAabb,500,0,233,13.319700,124750,4,0,0
